Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
"Biggerstaff, Minden & Hall, P.A.",305 N Greenwood Ave,Fort Smith,AR,72901-3453,UNITED STATES,www.bmharchitects.com
"Bignell Watkins & Hasser Architects, P.A.",1 Park Pl Ste 250,Annapolis,MD,21401-3477,UNITED STATES,bigwaha.com
Bignell Watkins Hasser Architects,"1 Park Pl , Ste 250",Annapolis,MD,21401-3477,UNITED STATES,bigwaha.com/
Bijan & Associates,109 Sierra St,El Segundo,CA,90245-4118,UNITED STATES,www.bijan.la
Bil Taylor Assoc. Inc. (Taylor Design & Build),"425 W Paseo Redondo , Ste 7",Tucson,AZ,85701-7203,UNITED STATES,taylordesignbuild.com
BiLD Architects PLLC,PO Box 11124,Fayetteville,AR,72703,UNITED STATES,www.bild-architects.com
Bild Design,8521 Zimpel St,New Orleans,LA,70118-1173,UNITED STATES,www.bildit.com
BILDit,7721B Leake Ave,New Orleans,LA,70118-3753,UNITED STATES,bildit.com
Bill Gilmore Architects PLLC,10 Tawana Dr,Shawnee,OK,74804-1133,UNITED STATES,
Bill Kurtz Architects PC,3426 E Turquoise Ave,Phoenix,AZ,85028-3969,UNITED STATES,kurtzarchitects.com/
Bill May Architect,3701 Rice Blvd,Houston,TX,77005-2823,UNITED STATES,www.billmayarchitect.com
Bill Montelbano Architect,8 E Hudson St,Mazomanie,WI,53560-9833,UNITED STATES,
Bill Penner,"183 Lorraine St., Studio 3052",Brooklyn,NY,11231,UNITED STATES,www.billpenner.com
"Bill Peterson, LLC","121 E 10th St , Apt 6D",New York,NY,10003-7516,UNITED STATES,
Bill Thomas Design,PO BOX 23755,Overland Park,KS,66283-3755,UNITED STATES,billthomasdesign.com
"Billes Architects, PLLC.","2233 St. Charles Avenue, Suite 409
 LA",New Orleans,LA,70130,UNITED STATES,www.billespartners.com
Billingsley Architecture,"633 Chestnut St , Ste 800",Chattanooga,TN,37450-0800,UNITED STATES,www.billarch.com
"Billy R. Thomas Architect, AIA LLC",PO Box 143,Stockton,AL,36579-0143,UNITED STATES,
"Biloba Architecture, PLLC","8801 J M Keynes Dr , Ste 365",Charlotte,NC,28262-5511,UNITED STATES,www.biloba.co
"Bilow Garrett Group Architects and Planners, P.C.",161 Main St,Ridgefield Park,NJ,07660-1663,UNITED STATES,www.bilowgarrett.com
Biltform Architecture Group,"11460 N Cave Creek Rd , Ste 11",Phoenix,AZ,85020-1492,UNITED STATES,www.biltform.com
Binkley Garcia Architecture,"5556 Franklin Pike , Ste 201",Nashville,TN,37220-2144,UNITED STATES,www.binkleygarcia.com
Binkley Garcia Architecture LLC,"5556 Franklin Pike , Ste 201",Nashville,TN,37220-2144,UNITED STATES,www.binkleygarcia.com
BINYAN architecture studio inc,122 Main St,Flemington,NJ,08822-1649,UNITED STATES,www.bin-yan.com
Bio-Architecture Formosana,"8F, No.47, Zhongshan N. Rd, Section 3, Zhongshan Disctrict",Taipei,,104,TAIWAN,www.bioarch.com.tw
Bio-architecture Formosana,"8F, No.803- 4, Sec.3, Zhongshan N. Rd., Zhongshan Dist.",Taipei,,10461,TAIWAN,www.bioarch.com.tw/
"BioMetics, Inc.",300 Bear Hill Rd,Waltham,MA,02451-1096,UNITED STATES,www.dpseng-usa.com
Biomimicry Design Alliance,1229 Krameria St,Denver,CO,80220-2714,UNITED STATES,www.biomimicrydesignalliance.org
Birba Group Architects,2350 Hyperion Ave,Los Angeles,CA,90027-4712,UNITED STATES,www.birbagroup.net
Birchfield Penuel & Associates,2805 Crescent Ave Ste 200,Birmingham,AL,35209-2525,UNITED STATES,www.bpa.net
"Birschbach & Associates, Ltd.",1019 Truman St,Kimberly,WI,54136-2208,UNITED STATES,www.birschbach.com
birse/thomas,5510 Pga Blvd Ste 201,Palm Beach Gardens,FL,33418-3980,UNITED STATES,birsethomas.com
Birtles Hagerman DeKryger Architects,"8865 Professional Dr , Ste C",Cadillac,MI,49601-8424,UNITED STATES,
Bisbano &amp; Associates,119 Wickenden St,Providence,RI,02903-4364,UNITED STATES,www.bisbano.com
BISBEE Architecture + Design,"629 4th St, Ste A",Santa Rosa,CA,95404,UNITED STATES,www.bisbeearchitecture.com
Bishop & Smith Architects,1344 Chews Landing Rd,Laurel Springs,NJ,08021-2702,UNITED STATES,bishopandsmith-architects.com
Bishop Architects,5300 Magdalena,Austin,TX,78735,UNITED STATES,www.block16architects.com
Bissiri Studio,"12460 Weddington St , Unit 4",Valley Village,CA,91607-2476,UNITED STATES,
"Bitnar Architects, P.C.","40 E Main St , Ste 220",Bozeman,MT,59715-4778,UNITED STATES,www.bitnararchitects.com
Bittoni Architects,4909 W Jefferson Blvd,Los Angeles,CA,90016-3922,UNITED STATES,bittoniarchitects.com
"Bivens & Associates Architects, PLLC","333 W Washington St , Ste 610",Syracuse,NY,13202-9203,UNITED STATES,www.bivensarchitects.com
Bizios Architect,"1502 West Hwy 54, Ste 602",Durham,NC,27707,UNITED STATES,www.bizios.com
Bjarke Ingels Group,"45 Main Street, 9th Floor",Brooklyn,NY,11201,UNITED STATES,www.big.dk
Bjarke Ingels Group,Norrebrogade 66D,Copenhagen,,2200,DENMARK,www.big.dk
Bjarko Serra Architects,7001 3rd Ave NW,Seattle,WA,98117-4902,UNITED STATES,www.bjarkoserra.com
Bjerke Architects,"2905 N Montana Ave , Ste 202",Helena,MT,59601-0562,UNITED STATES,www.bjerkearchitects.com
BJLA Architecture & Planning PLLC,41 Southgate Ave,Hastings on Hudson,NY,10706-2511,UNITED STATES,www.bjlaarchitecture.com
"BKA Architects, Inc.",142 Crescent St,Brockton,MA,02302-3104,UNITED STATES,www.bkaarchitects.com
BKBC Architects Inc.,1371 Oakland Blvd Ste 101,Walnut Creek,CA,94596-8416,UNITED STATES,www.bkbcarch.com
"BKF & Associates, LLC","1210 Ward Ave , Ste 202",Honolulu,HI,96814-1422,UNITED STATES,
