Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
"L'Heureux, Page and Werner, P.C.",15 5th St S,Great Falls,MT,59401-3620,UNITED STATES,www.lpwarchitecture.com
L'oro Designs,"2269 Chestnut St , # 131",San Francisco,CA,94123-2600,UNITED STATES,loro-designs.com/
L+A Architects Inc,441 S Livernois Rd,Rochester Hills,MI,48307-2584,UNITED STATES,
L+L Design Studio,"20 W 22nd St , Ste 1611",New York,NY,10010-5867,UNITED STATES,www.lplusldesign.com
L+P Architecture LLC,2138 N Cleveland Massillon Rd,Akron,OH,44333-1257,UNITED STATES,www.louisandpartners.com
L. A. Paul & Associates,"110 Carlos Dr , Ste A",San Rafael,CA,94903-2015,UNITED STATES,www.lapaulassociates.com
L. Barlow & Company,1107 Fair Oaks Ave  #14,South Pasadena,CA,91030,UNITED STATES,barlowcoweb.com
L. Barry Davidson Architects AIA Inc.,"3000 Richmond Ave , Ste 120",Houston,TX,77098-3188,UNITED STATES,www.lbarrydavidsonarchitects.com
L. F. Garcia Architects LLC,15 Bond St,Norwalk,CT,06855-1602,UNITED STATES,www.lfgarciaarchitects.com
"L. F. Giampietro, Architect, PC","354 Gifford St , Ste 3",Falmouth,MA,02540-2950,UNITED STATES,www.giampietroarchitects.com
L. Gene Zellmar Architecture/Planning,PO Box 1444,Carmel Valley,CA,93924-1444,UNITED STATES,
L. Mark Architects,116 Cortez Dr,Scott,LA,70583-4603,UNITED STATES,architectsandbuilders.com
L. R. Kimball,PO Box 1000,Ebensburg,PA,15931-1000,UNITED STATES,
"L. Reed Carpenter Jr., AIA",3712 Traver Rd,Shaker Heights,OH,44122-5151,UNITED STATES,
L. Scott Fetterhoff AIA Architect,7677 High Pine Rd,Orlando,FL,32819-5166,UNITED STATES,www.lscottfetterhoffarchitect.com
"L.A. Myers Architecture, LLC","1 W Court Sq , Ste 750",Decatur,GA,30030-2545,UNITED STATES,www.lamarchitects.com
"L.B. Manske Architecture & Design, Inc.",2422 N Rutgers Ct,Wichita,KS,67205-2201,UNITED STATES,
L.K. Sorensen Assoc. Architects/Planners,1332 W Duehl Cir,Taylorsville,UT,84123-2280,UNITED STATES,
