Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
"Meyer, Scherer & Rockcastle, Ltd. (MSR)",510 Marquette Ave Ste 200,Minneapolis,MN,55402-1121,UNITED STATES,www.msrdesign.com
Meyers & Associates Architects,232 N 3Rd St Ste 300,Columbus,OH,43215-2786,UNITED STATES,www.meyersarchitects.com
"MFL Architect, PLLC.",219 Jackson Ave,Pelham,NY,10803-3135,UNITED STATES,
MFR Consulting Architects,11375 Montana Ave,Los Angeles,CA,90049-3032,UNITED STATES,
MFS Architecture,"522 broad atreet, suite 8",glen rock,NJ,07452,UNITED STATES,www.mfsarchitecture.com
MG Architects,14333 Grisby Road,Houston,TX,77079,UNITED STATES,www.mgarchitects.com
MG Architecture Urbanism,580 Sylvan Ave Ste 2C,Englewood Cliffs,NJ,07632,UNITED STATES,www.mg-au.com
MG Kickbush Design & Consulting LLC,PO Box 134,Washington Island,WI,54246-0134,UNITED STATES,
"MG NEW YORK ARCHITECT, PLLC","11 Broadway , Ste 860",New York,NY,10004-1489,UNITED STATES,www.mgnewyorkarchitects.com
MG2,"8444 Westpark Dr , Ste 120",McLean,VA,22102-5122,UNITED STATES,www.mg2.com
MG2,"1101 2nd Ave
Ste 100",Seattle,WA,98101,UNITED STATES,https://www.mg2.com
MG2,"1300 SW 6th Ave , Ste 305",Portland,OR,97201-3461,UNITED STATES,www.studiocpdx.com
MG2,"18200 Von Karman Ave , Ste 910",Irvine,CA,92612-1018,UNITED STATES,www.mg2.com
MG2 Corporation,1101 2Nd Ave Ste 100,Seattle,WA,98101-2923,UNITED STATES,www.mg2.com
MG2 Corporation,"3333 Michelson Drive, Suite 100",Irvine,CA,92612,UNITED STATES,
MGA Architecture,"677 Ala Moana BLVD, Ste. 705",Honolulu,HI,96813,UNITED STATES,www.mgahawaii.com
"MGA Architecture, LLC","677 Ala Moana Boulevard, Suite 705",Honolulu,HI,96813,UNITED STATES,www.mgahawaii.com
"MGA Consultants, LLC.","1245 Marginal Street, Urb. Villamar","Isla Verde, Carolina, Puerto Rico",PR,00979-6345,UNITED STATES,www.mgaapr.com
MGA Marcus Gleysteen Architects,"129 Kingston St , Fl 5",Boston,MA,02111-2137,UNITED STATES,www.mgaarchitects.com
MGA Partners,"234 Market St , Fl 2",Philadelphia,PA,19106-2870,UNITED STATES,www.mgapartners.com
MGB Architecture Inc.,"7 E 6 Ave , Ste 300",Vancouver,,,CANADA,www.mgba.com
MGDK Architects,"61 Greenpoint Ave, STE 226",Brooklyn,NY,11222,UNITED STATES,www.maxgordonarchitects.com
MGE Architects,3081 Salzedo St,Coral Gables,FL,33134-6722,UNITED STATES,www.mgearchitects.com
MGF Designs,169 Spinnaker Ln,Shelburne,VT,05482-7778,UNITED STATES,
MGLM Architects,"343 S Dearborn St , Apt 1203",Chicago,IL,60604-3817,UNITED STATES,www.mglmarchitects.com
MGLM Architects,"727 S Dearborn ST, Apt. 512",Chicago,IL,60605,UNITED STATES,www.mglmarchitects.com
MGM Resorts International,4882 Frank Sinatra Dr,Las Vegas,NV,89158-4316,UNITED STATES,www.mgmresorts.com
MGMA,"131 Great Falls St , Fl 2",Falls Church,VA,22046-3445,UNITED STATES,www.morgangick.com
MGO Homes USA,6875 Windy Hill Way,Reno,NV,89511,UNITED STATES,www.mgousasips.com
"MGPA Architecture, Inc.",6965 El Camino Real Ste 105-278,Carlsbad,CA,92009-4100,UNITED STATES,www.mgpaia.com
"MGroup + Architects, Inc.",1013 Van Buren St,Houston,TX,77019-4126,UNITED STATES,www.mgroupcompanies.com
MGS Architecture,4445 Stewart Ave,Los Angeles,CA,90066-6135,UNITED STATES,www.mgsarchitecture.com
MHAWorks,501 Washington ST Ste G,Durham,NC,27701-2169,UNITED STATES,www.mhaworks.com
"MHAWorks, PA","12 S Lexington Ave , Unit 100",Asheville,NC,28801-3313,UNITED STATES,www.mhaworks.com
"MHAworks, PA","409 Evans St , Ste C",Greenville,NC,27858-1854,UNITED STATES,www.mhaworks.com
"MHG Architects, PC","15 E 32nd St , Fl 7",New York,NY,10016-5570,UNITED STATES,www.mhgarch.com
MHK Architecture & Planning,2059 Tamiami TRL E,Naples,FL,34112,UNITED STATES,www.mhkap.com
MHTN Architects,280 South 400 West Ste 250,Salt Lake City,UT,84101,UNITED STATES,www.mhtn.com
MHTN Architects,"280 South 400 West
Ste 250",Salt Lake City,UT,84101,UNITED STATES,www.mhtn.com
"MI Architects, Inc.",1801 Oakland Blvd Suite 300,Walnut Creek,CA,94596,UNITED STATES,www.miarchitect.com
MI Darwish Architect,444 W 22nd St,Lombard,IL,60148-4891,UNITED STATES,
Miami Dade County ISD,"111 NW 1st St , Ste 2420",Miami,FL,33128-1931,UNITED STATES,
"Michael A. Bet, Architect, PC","201 East Ridgewood Avenue

Suite 3",Ridgewood,NJ,07450,UNITED STATES,www.michaelabetarch.com
"Michael A. Biagioli, Architect","2047 Victory Boulevard, Suite 200",Staten Island,NY,10314,UNITED STATES,
Michael A. Boggio Associates,"30100 Telegraph Rd , Ste 216",Bingham Farms,MI,48025-4516,UNITED STATES,www.etsengineering.net
"Michael A. Byrd, Architect","5800 Beach Blvd , Ste 203-144",Jacksonville,FL,32207-5120,UNITED STATES,www.michaelabyrdarchitect.com
Michael A. Finn Architect,2402 Chain Bridge Rd Nw,Washington,DC,20016-3304,UNITED STATES,
Michael Abraham Architecture,148 Burlington Ave,Clarendon Hills,IL,60514-1203,UNITED STATES,www.michael-abraham.com
Michael Allan Eldridge Architecture + Design,"4222 Glencoe Ave , Ste 200",Marina del Rey,CA,90292-8828,UNITED STATES,maearchdesign.com
Michael Allen Riley Architecture PLLC,"315 Dewey Ave , Ste A",Poteau,OK,74953-4211,UNITED STATES,www.michaelrileyarchitect.com
