Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
"Beta Design Group, P.C.","2534 Royal Pl , Ste C",Tucker,GA,30084-8600,UNITED STATES,www.betadesigngroup.com
Beth Levine Architect,PO Box 1825,Avon,CO,81620-1825,UNITED STATES,www.bethlevinearchitect.com
Beth Morris Architecture,"544 Pacific Ave , Fl 3",San Francisco,CA,94133-4608,UNITED STATES,
"BetschAssociates, Inc.",101 N Main St Ste 1505,Greenville,SC,29601-4848,UNITED STATES,www.betschassociates.com
Bettina ZERZA PLLC,"180 Varick St , Suite 1110",New York,NY,10014-5431,UNITED STATES,www.zerza.com
Bettisworth North Architects and Planners Inc.,PO Box 73209,Fairbanks,AK,99707-3209,UNITED STATES,www.bettisworthnorth.com
Bettisworth North Architects and Planners Inc.,"2600 Denali St , Ste 710",Anchorage,AK,99503-2754,UNITED STATES,www.bettisworthnorth.com
Bettisworth North Architects and Planners Inc.,"2600 Denali St , Ste 710",Anchorage,AK,99503-2754,UNITED STATES,www.bettisworthnorth.com
"Betty Woo, AIA, Architect",216 Lindo Pl,Davis,CA,95616-0238,UNITED STATES,
Bevens Architect,2725 NE Cesar E Chavez Blvd,Portland,OR,97212-2928,UNITED STATES,
Beveridge Architects,534 Cokesbury Rd,Annandale,NJ,08801-2033,UNITED STATES,
Beyer Blinder Belle,3307 M St Nw Ste 301,Washington,DC,20007-3539,UNITED STATES,www.bbbarch.com
Beyer Blinder Belle Architects,120 Broadway Fl 20,New York,NY,10271-0002,UNITED STATES,www.beyerblinderbelle.com
Beyer Blinder Belle Architects & Planners,"120 Broadway, 20th Floor",New York,NY,10271,UNITED STATES,www.beyerblinderbelle.com/
beyond Architecture,"5755 Lawton Loop East Dr , Apt 5",Indianapolis,IN,46216-2226,UNITED STATES,
"Beyond Ordinary Boundaries Architecture, PC",108 N 1st St,Richmond,VA,23219-2114,UNITED STATES,www.bobarchitecture.net
"BFB Architects, PC","343 W 22nd St , Bsmt Entry",New York,NY,10011-2687,UNITED STATES,www.bfbarchitect.com
BFE Architects,1840 Massachusetts Ave,Lexington,MA,02420-5351,UNITED STATES,
BFrank Studio,4836 West Gandy Boulevard,Tampa,FL,33611,UNITED STATES,www.bfrankstudio.com
BG Consultants Inc.,4806 Vue Du Lac Pl,Manhattan,KS,66503-8688,UNITED STATES,www.bgcons.com
"BG Studio International, Inc.",242 W 40Th St Ste 703,New York,NY,10018,UNITED STATES,www.bgstudio.com
BGE,PO Box 1475,Baltimore,MD,21203-1475,UNITED STATES,www.bge.com
BGI Architect,"2091 Las Palmas Dr , Ste D",Carlsbad,CA,92011-1551,UNITED STATES,www.bgiarchitect.com
BGK Architects,"5271 Memorial Dr , Ste 100",Houston,TX,77007-8216,UNITED STATES,www.bgkarch.com
BGO Architects,"4245 N Central Expy , Ste 300",Dallas,TX,75205-4569,UNITED STATES,www.bgoarchitects.com
"BGR Architects, Inc.",2118 34th St,Lubbock,TX,79411-1734,UNITED STATES,www.bgrarchitects.com
BGW Architects,2909 Washington Blvd,Ogden,UT,84401-3744,UNITED STATES,www.bgwservices.com
BH Design,1200 Cumberland Rd NE,Atlanta,GA,30306-2212,UNITED STATES,design-bh.com
Bhavikatti Architecture LLC,18947 E Baker Pl,Aurora,CO,80013-6415,UNITED STATES,
"BHC Consultants, LLC","1601 5th Ave , Ste 500",Seattle,WA,98101-3604,UNITED STATES,www.bhcconsultants.com
BHDP Architecture,"150 Fayetteville St , Ste 820",Raleigh,NC,27601-2957,UNITED STATES,www.bhdp.com
BHDP Architecture,302 W 3rd ST Ste 500,Cincinnati,OH,45202,UNITED STATES,www.bhdp.com
